property_address,property_ward,violation_fire_code,violation_description,number_of_violations
90 Park Lawn Rd,3,2.2.3.2,2.2.3.2 Maintenance of closures,5
90 Park Lawn Rd,3,6.3.1.2,6.3.1.2 Monitoring,5
4 Elsinore Path,3,1.1.2.3,1.1.2.3  (Do Not Use),9
4 Elsinore Path,3,1.1.2.3./2.7.3.3.(3),1.1.2.3./2.7.3.3.(3) Records of Test (Emergency Lighting),9
4 Elsinore Path,3,2.7.2.2,"2.7.2.2 Requirements for locking, latching and fastening devices",9
4 Elsinore Path,3,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,9
17 Michael Power Pl,3,2.16.2.1,2.16.2.1 Installation requirements,6
17 Michael Power Pl,3,2.2.3.2,2.2.3.2 Maintenance of closures,6
17 Michael Power Pl,3,2.8.2.1,2.8.2.1 Measures in a fire safety plan,6
80 Marine Parade Dr,3,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),18
80 Marine Parade Dr,3,1.1.2.1./6.4.3.3.,1.1.2.1./6.4.3.3. Records of Test (Standpipe - FD Connection),18
80 Marine Parade Dr,3,1.1.2.1./6.5.5.3.,1.1.2.1./6.5.5.3. Records of Test (Water Flow Test),18
80 Marine Parade Dr,3,1.1.2.1./6.5.5.4.,1.1.2.1./6.5.5.4. Records of Test (Dry Pipe Trip Test),18
80 Marine Parade Dr,3,1.1.2.1./6.5.5.5.,1.1.2.1./6.5.5.5. Records of Test (Water Supply Pressure Test),18
80 Marine Parade Dr,3,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),18
80 Marine Parade Dr,3,2.2.2.1,2.2.2.1 Damaged fire separations,18
80 Marine Parade Dr,3,2.2.3.2,2.2.3.2 Maintenance of closures,18
80 Marine Parade Dr,3,2.6.1.13,2.6.1.13 Maintenance of exhaust and fire protection systems,18
80 Marine Parade Dr,3,7.3.1.3,7.3.1.3 Maintenance of certain fire emergency systems,18
18 Panorama Crt,1,2.2.3.2,2.2.3.2 Maintenance of closures,5
18 Panorama Crt,1,2.2.3.3,2.2.3.3 Operation of closures,5
2500 Keele St,5,1.1.1.2,"1.1.1.2 Check, inspect and test",11
2500 Keele St,5,2.5.1.2,2.5.1.2 Maintaining access free of obstructions,11
121 Humber Blvd,5,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),14
121 Humber Blvd,5,1.1.2.1./6.6.5.6.,1.1.2.1./6.6.5.6. Records of Test (Hydrant Water Flow),14
121 Humber Blvd,5,6.3.1.2,6.3.1.2 Monitoring,14
15 Legion Rd,3,1.1.2.1./6.6.5.6.,1.1.2.1./6.6.5.6. Records of Test (Hydrant Water Flow),4
15 Legion Rd,3,2.2.3.2,2.2.3.2 Maintenance of closures,4
15 Legion Rd,3,2.4.1.1,2.4.1.1 Accumulation of combustible materials,4
15 Legion Rd,3,7.3.1.3,7.3.1.3 Maintenance of certain fire emergency systems,4
311 Richmond St E,NA,1.1.2.1,1.1.2.1 Records to be prepared,12
311 Richmond St E,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),12
311 Richmond St E,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),12
311 Richmond St E,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),12
311 Richmond St E,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),12
311 Richmond St E,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),12
311 Richmond St E,NA,2.16.2.1,2.16.2.1 Installation requirements,12
311 Richmond St E,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,12
311 Richmond St E,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,12
311 Richmond St E,NA,CH 470 - S.6,CH 470 - S.6,12
320 Richmond St E,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",16
320 Richmond St E,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),16
320 Richmond St E,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),16
320 Richmond St E,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),16
320 Richmond St E,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),16
320 Richmond St E,NA,2.2.3.3,2.2.3.3 Operation of closures,16
320 Richmond St E,NA,2.8.3.2,2.8.3.2 Frequency,16
320 Richmond St E,NA,6.5.6.5,6.5.6.5 Spare sprinkler heads,16
320 Richmond St E,NA,6.6.3.5,6.6.3.5 Fire pump flow tests,16
330 Jarvis St,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),22
330 Jarvis St,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),22
330 Jarvis St,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),22
330 Jarvis St,NA,1.1.2.1./6.3.3.8.,1.1.2.1./6.3.3.8. - Records of Test (Smoke Alarms),22
330 Jarvis St,NA,1.1.2.1./6.4.3.2.,1.1.2.1./6.4.3.2. Records of Test (Standpipe - Hydrostatic),22
330 Jarvis St,NA,1.1.2.1./6.4.3.3.,1.1.2.1./6.4.3.3. Records of Test (Standpipe - FD Connection),22
330 Jarvis St,NA,1.1.2.1./6.5.5.3.,1.1.2.1./6.5.5.3. Records of Test (Water Flow Test),22
330 Jarvis St,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),22
330 Jarvis St,NA,2.2.2.1,2.2.2.1 Damaged fire separations,22
330 Jarvis St,NA,2.2.3.2,2.2.3.2 Maintenance of closures,22
330 Jarvis St,NA,6.5.1.1,"6.5.1.1 Repair, replacement, alterations, inspection, testing and maintenance",22
330 Jarvis St,NA,6.5.1.5 (1),6.5.1.5 (1) Obstructions,22
330 Jarvis St,NA,9.6.2.6,9.6.2.6 Protection of openings in fire separations,22
33 Charles St E,NA,1.1.2.1,1.1.2.1 Records to be prepared,15
33 Charles St E,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),15
33 Charles St E,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),15
33 Charles St E,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),15
33 Charles St E,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),15
33 Charles St E,NA,1.1.2.3./6.7.1.1.,1.1.2.3./6.7.1.1. Records of Test (Emergency Power Systems),15
33 Charles St E,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,15
33 Charles St E,NA,2.8.3.4,2.8.3.4 Records,15
330 Adelaide St E,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",22
330 Adelaide St E,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),22
330 Adelaide St E,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),22
330 Adelaide St E,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),22
330 Adelaide St E,NA,1.1.2.1./6.5.5.2.,1.1.2.1./6.5.5.2. Records of Test (Sprinkler Alarm Test),22
330 Adelaide St E,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),22
330 Adelaide St E,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,22
330 Adelaide St E,NA,2.8.3.2,2.8.3.2 Frequency,22
330 Adelaide St E,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,22
330 Adelaide St E,NA,6.4.1.3. (1),B.6.4.1.3.(1) STANDPIPE CAPS & BACK-FLUSHING,22
330 Adelaide St E,NA,7.3.1.3,7.3.1.3 Maintenance of certain fire emergency systems,22
35 Church St,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",21
35 Church St,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),21
35 Church St,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),21
35 Church St,NA,1.1.2.1./6.5.5.2.,1.1.2.1./6.5.5.2. Records of Test (Sprinkler Alarm Test),21
35 Church St,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),21
35 Church St,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),21
35 Church St,NA,2.2.2.1,2.2.2.1 Damaged fire separations,21
35 Church St,NA,2.2.3.2,2.2.3.2 Maintenance of closures,21
35 Church St,NA,2.2.3.3,2.2.3.3 Operation of closures,21
35 Church St,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,21
35 Church St,NA,2.7.3.2,2.7.3.2 Exit Signs,21
35 Church St,NA,2.8.2.5 (1),2.8.2.5 (1) Posting fire emergency procedures,21
35 Church St,NA,6.5.1.1,"6.5.1.1 Repair, replacement, alterations, inspection, testing and maintenance",21
35 Church St,NA,6.5.1.5 (1),6.5.1.5 (1) Obstructions,21
35 Church St,NA,6.5.4.5,6.5.4.5 Sprinkler control valves,21
35 Church St,NA,6.5.6.5,6.5.6.5 Spare sprinkler heads,21
37 Grosvenor St,NA,2.5.1.2,2.5.1.2 Maintaining access free of obstructions,4
37 Grosvenor St,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,4
37 Grosvenor St,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,4
37 Grosvenor St,NA,6.3.2.2,6.3.2.2 Fire alarm systems,4
39 Jarvis St,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),9
39 Jarvis St,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),9
39 Jarvis St,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),9
39 Jarvis St,NA,1.1.2.1./6.3.3.8.,1.1.2.1./6.3.3.8. - Records of Test (Smoke Alarms),9
39 Jarvis St,NA,1.1.2.1./6.5.5.3.,1.1.2.1./6.5.5.3. Records of Test (Water Flow Test),9
39 Jarvis St,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),9
39 Jarvis St,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),9
39 Jarvis St,NA,2.2.3.3,2.2.3.3 Operation of closures,9
39 Jarvis St,NA,6.4.1.2,6.4.1.2 Testing,9
40 Alexander St,NA,1.1.2.1,1.1.2.1 Records to be prepared,18
40 Alexander St,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),18
40 Alexander St,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),18
40 Alexander St,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),18
40 Alexander St,NA,1.1.2.1./6.4.3.3.,1.1.2.1./6.4.3.3. Records of Test (Standpipe - FD Connection),18
40 Alexander St,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),18
40 Alexander St,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),18
40 Alexander St,NA,2.5.1.2. (2),B.2.5.1.2.(2) FIRE DEPARTMENT ACCESS STANDPIPE/SPRINKLER,18
40 Alexander St,NA,2.8.3.4,2.8.3.4 Records,18
40 Alexander St,NA,6.4.1.3. (1),B.6.4.1.3.(1) STANDPIPE CAPS & BACK-FLUSHING,18
400 Adelaide St E,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),9
400 Adelaide St E,NA,2.8.3.2,2.8.3.2 Frequency,9
400 Adelaide St E,NA,6.4.1.3. (1),B.6.4.1.3.(1) STANDPIPE CAPS & BACK-FLUSHING,9
400 Adelaide St E,NA,6.5.6.5,6.5.6.5 Spare sprinkler heads,9
389 Church St,NA,1.1.2.2,1.1.2.2 Retention of records,5
389 Church St,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,5
215 Wynford Dr,NA,1.1.2.1,1.1.2.1 Records to be prepared,24
215 Wynford Dr,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),24
215 Wynford Dr,NA,1.1.2.1./6.4.3.7.(1),1.1.2.1./6.4.3.7.(1) Records of Test (Standpipe - FD Connections),24
215 Wynford Dr,NA,2.2.2.1,2.2.2.1 Damaged fire separations,24
215 Wynford Dr,NA,2.2.3.1,2.2.3.1 Damaged closures,24
215 Wynford Dr,NA,2.2.3.2,2.2.3.2 Maintenance of closures,24
215 Wynford Dr,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,24
215 Wynford Dr,NA,6.5.1.5,6.5.1.5 Obstructions,24
215 Wynford Dr,NA,6.5.3.4,6.5.3.4 Sprinkler heads,24
