id,property_address,address_number,address_name,enforcement_proceedings,property_type,property_ward,inspection_thread,inspections_opendate,inspections_closeddate,violation_fire_code,violations_item_number,violation_description
77153,90 Park Lawn Rd,90,Park Lawn,No,High Rise,3,_6bc98FCC43EFCB4,2020-06-18 14:42:55,2020-12-16 09:21:46,2.2.3.2,2,2.2.3.2 Maintenance of closures
77154,90 Park Lawn Rd,90,Park Lawn,No,High Rise,3,_6bc98FCC43EFCB4,2020-06-18 14:42:55,2020-12-16 09:21:46,6.3.1.2,3,6.3.1.2 Monitoring
77156,4 Elsinore Path,4,Elsinore,No,High Rise,3,_6bc9965D2AFC3B2,2020-08-11 17:20:27,2021-01-28 17:59:17,1.1.2.3,1,1.1.2.3  (Do Not Use)
77157,4 Elsinore Path,4,Elsinore,No,High Rise,3,_6bc9965D2AFC3B2,2020-08-11 17:20:27,2021-01-28 17:59:17,1.1.2.3./2.7.3.3.(3),2,1.1.2.3./2.7.3.3.(3) Records of Test (Emergency Lighting)
77158,4 Elsinore Path,4,Elsinore,No,High Rise,3,_6bc9965D2AFC3B2,2020-08-11 17:20:27,2021-01-28 17:59:17,2.7.2.2,3,"2.7.2.2 Requirements for locking, latching and fastening devices"
77159,4 Elsinore Path,4,Elsinore,No,High Rise,3,_6bc9965D2AFC3B2,2020-08-11 17:20:27,2021-01-28 17:59:17,6.3.1.4,4,6.3.1.4 Fire Alarm Maintenance
77163,17 Michael Power Pl,17,Michael Power,No,High Rise,3,_6bc99CFB3C81D91,2020-07-09 09:43:12,2020-12-22 12:13:06,2.16.2.1,1,2.16.2.1 Installation requirements
77164,17 Michael Power Pl,17,Michael Power,No,High Rise,3,_6bc99CFB3C81D91,2020-07-09 09:43:12,2020-12-22 12:13:06,2.2.3.2,2,2.2.3.2 Maintenance of closures
77165,17 Michael Power Pl,17,Michael Power,No,High Rise,3,_6bc99CFB3C81D91,2020-07-09 09:43:12,2020-12-22 12:13:06,2.8.2.1,3,2.8.2.1 Measures in a fire safety plan
77167,80 Marine Parade Dr,80,Marine Parade,No,High Rise,3,_6bc99E960CC7DAA,2020-05-20 13:59:29,2021-01-14 11:55:50,1.1.2.1./6.3.2.2.,1,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm)
77168,80 Marine Parade Dr,80,Marine Parade,No,High Rise,3,_6bc99E960CC7DAA,2020-05-20 13:59:29,2021-01-14 11:55:50,1.1.2.1./6.4.3.3.,2,1.1.2.1./6.4.3.3. Records of Test (Standpipe - FD Connection)
77169,80 Marine Parade Dr,80,Marine Parade,No,High Rise,3,_6bc99E960CC7DAA,2020-05-20 13:59:29,2021-01-14 11:55:50,1.1.2.1./6.5.5.3.,3,1.1.2.1./6.5.5.3. Records of Test (Water Flow Test)
77170,80 Marine Parade Dr,80,Marine Parade,No,High Rise,3,_6bc99E960CC7DAA,2020-05-20 13:59:29,2021-01-14 11:55:50,1.1.2.1./6.5.5.4.,4,1.1.2.1./6.5.5.4. Records of Test (Dry Pipe Trip Test)
77171,80 Marine Parade Dr,80,Marine Parade,No,High Rise,3,_6bc99E960CC7DAA,2020-05-20 13:59:29,2021-01-14 11:55:50,1.1.2.1./6.5.5.5.,5,1.1.2.1./6.5.5.5. Records of Test (Water Supply Pressure Test)
77172,80 Marine Parade Dr,80,Marine Parade,No,High Rise,3,_6bc99E960CC7DAA,2020-05-20 13:59:29,2021-01-14 11:55:50,1.1.2.1./6.6.3.5.,6,1.1.2.1./6.6.3.5. Records of Test (Fire Pump)
77173,80 Marine Parade Dr,80,Marine Parade,No,High Rise,3,_6bc99E960CC7DAA,2020-05-20 13:59:29,2021-01-14 11:55:50,2.2.2.1,7,2.2.2.1 Damaged fire separations
77174,80 Marine Parade Dr,80,Marine Parade,No,High Rise,3,_6bc99E960CC7DAA,2020-05-20 13:59:29,2021-01-14 11:55:50,2.2.3.2,8,2.2.3.2 Maintenance of closures
77175,80 Marine Parade Dr,80,Marine Parade,No,High Rise,3,_6bc99E960CC7DAA,2020-05-20 13:59:29,2021-01-14 11:55:50,2.6.1.13,9,2.6.1.13 Maintenance of exhaust and fire protection systems
77176,80 Marine Parade Dr,80,Marine Parade,No,High Rise,3,_6bc99E960CC7DAA,2020-05-20 13:59:29,2021-01-14 11:55:50,7.3.1.3,10,7.3.1.3 Maintenance of certain fire emergency systems
77178,18 Panorama Crt,18,Panorama,No,High Rise,1,_6bcac2DF2C4A77F,2020-05-14 12:26:49,2020-07-03 10:23:54,2.2.3.2,1,2.2.3.2 Maintenance of closures
77179,18 Panorama Crt,18,Panorama,No,High Rise,1,_6bcac2DF2C4A77F,2020-05-14 12:26:49,2020-07-03 10:23:54,2.2.3.3,2,2.2.3.3 Operation of closures
77181,2500 Keele St,2500,Keele,No,High Rise,5,_6bcad0DBDCDA003,2020-05-19 14:21:05,2020-10-21 09:09:44,1.1.1.2,1,"1.1.1.2 Check, inspect and test"
77182,2500 Keele St,2500,Keele,No,High Rise,5,_6bcad0DBDCDA003,2020-05-19 14:21:05,2020-10-21 09:09:44,2.5.1.2,2,2.5.1.2 Maintaining access free of obstructions
77183,121 Humber Blvd,121,Humber,No,High Rise,5,_6bcadA2C5C65AD5,2020-05-19 15:26:35,2020-07-06 13:28:30,1.1.2.1./6.6.3.5.,1,1.1.2.1./6.6.3.5. Records of Test (Fire Pump)
77184,121 Humber Blvd,121,Humber,No,High Rise,5,_6bcadA2C5C65AD5,2020-05-19 15:26:35,2020-07-06 13:28:30,1.1.2.1./6.6.5.6.,2,1.1.2.1./6.6.5.6. Records of Test (Hydrant Water Flow)
77185,121 Humber Blvd,121,Humber,No,High Rise,5,_6bcadA2C5C65AD5,2020-05-19 15:26:35,2020-07-06 13:28:30,6.3.1.2,3,6.3.1.2 Monitoring
77190,15 Legion Rd,15,Legion,No,High Rise,3,_6bcb075D5B36951,2020-05-20 11:29:16,2021-05-17 14:38:12,1.1.2.1./6.6.5.6.,1,1.1.2.1./6.6.5.6. Records of Test (Hydrant Water Flow)
77191,15 Legion Rd,15,Legion,No,High Rise,3,_6bcb075D5B36951,2020-05-20 11:29:16,2021-05-17 14:38:12,2.2.3.2,2,2.2.3.2 Maintenance of closures
77192,15 Legion Rd,15,Legion,No,High Rise,3,_6bcb075D5B36951,2020-05-20 11:29:16,2021-05-17 14:38:12,2.4.1.1,3,2.4.1.1 Accumulation of combustible materials
77193,15 Legion Rd,15,Legion,No,High Rise,3,_6bcb075D5B36951,2020-05-20 11:29:16,2021-05-17 14:38:12,7.3.1.3,4,7.3.1.3 Maintenance of certain fire emergency systems
77194,311 Richmond St E,311,Richmond,No,High Rise,13,_6bcb07D98B242F9,2020-11-24 11:36:52,2021-04-07 10:59:52,1.1.2.1,1,1.1.2.1 Records to be prepared
