property_address,property_ward,violation_fire_code,number_of_violations
90 Park Lawn Rd,3,2.2.3.2,5
90 Park Lawn Rd,3,6.3.1.2,5
4 Elsinore Path,3,1.1.2.3,9
4 Elsinore Path,3,1.1.2.3./2.7.3.3.(3),9
4 Elsinore Path,3,2.7.2.2,9
4 Elsinore Path,3,6.3.1.4,9
17 Michael Power Pl,3,2.16.2.1,6
17 Michael Power Pl,3,2.2.3.2,6
17 Michael Power Pl,3,2.8.2.1,6
80 Marine Parade Dr,3,1.1.2.1./6.3.2.2.,18
80 Marine Parade Dr,3,1.1.2.1./6.4.3.3.,18
80 Marine Parade Dr,3,1.1.2.1./6.5.5.3.,18
80 Marine Parade Dr,3,1.1.2.1./6.5.5.4.,18
80 Marine Parade Dr,3,1.1.2.1./6.5.5.5.,18
80 Marine Parade Dr,3,1.1.2.1./6.6.3.5.,18
80 Marine Parade Dr,3,2.2.2.1,18
80 Marine Parade Dr,3,2.2.3.2,18
80 Marine Parade Dr,3,2.6.1.13,18
80 Marine Parade Dr,3,7.3.1.3,18
18 Panorama Crt,1,2.2.3.2,5
18 Panorama Crt,1,2.2.3.3,5
2500 Keele St,5,1.1.1.2,11
2500 Keele St,5,2.5.1.2,11
121 Humber Blvd,5,1.1.2.1./6.6.3.5.,14
121 Humber Blvd,5,1.1.2.1./6.6.5.6.,14
121 Humber Blvd,5,6.3.1.2,14
15 Legion Rd,3,1.1.2.1./6.6.5.6.,4
15 Legion Rd,3,2.2.3.2,4
15 Legion Rd,3,2.4.1.1,4
15 Legion Rd,3,7.3.1.3,4
311 Richmond St E,13,1.1.2.1,12
311 Richmond St E,13,1.1.2.1./2.7.3.3.(3),12
311 Richmond St E,13,1.1.2.1./6.2.7.5.,12
311 Richmond St E,13,1.1.2.1./6.3.2.2.,12
311 Richmond St E,13,1.1.2.1./6.6.3.5.,12
311 Richmond St E,13,1.1.2.1./6.7.1.1.,12
311 Richmond St E,13,2.16.2.1,12
311 Richmond St E,13,2.4.1.1,12
311 Richmond St E,13,2.8.2.1,12
311 Richmond St E,13,CH 470 - S.6,12
320 Richmond St E,13,1.1.1.2,16
320 Richmond St E,13,1.1.2.1./2.7.3.3.(3),16
320 Richmond St E,13,1.1.2.1./6.3.2.2.,16
320 Richmond St E,13,1.1.2.1./6.6.3.5.,16
320 Richmond St E,13,1.1.2.1./6.7.1.1.,16
320 Richmond St E,13,2.2.3.3,16
320 Richmond St E,13,2.8.3.2,16
320 Richmond St E,13,6.5.6.5,16
320 Richmond St E,13,6.6.3.5,16
330 Jarvis St,13,1.1.2.1./2.7.3.3.(3),22
330 Jarvis St,13,1.1.2.1./6.2.7.5.,22
330 Jarvis St,13,1.1.2.1./6.3.2.2.,22
330 Jarvis St,13,1.1.2.1./6.3.3.8.,22
330 Jarvis St,13,1.1.2.1./6.4.3.2.,22
330 Jarvis St,13,1.1.2.1./6.4.3.3.,22
330 Jarvis St,13,1.1.2.1./6.5.5.3.,22
330 Jarvis St,13,1.1.2.1./6.6.3.5.,22
330 Jarvis St,13,2.2.2.1,22
330 Jarvis St,13,2.2.3.2,22
330 Jarvis St,13,6.5.1.1,22
330 Jarvis St,13,6.5.1.5 (1),22
330 Jarvis St,13,9.6.2.6,22
33 Charles St E,13,1.1.2.1,15
33 Charles St E,13,1.1.2.1./2.7.3.3.(3),15
33 Charles St E,13,1.1.2.1./6.2.7.5.,15
33 Charles St E,13,1.1.2.1./6.3.2.2.,15
33 Charles St E,13,1.1.2.1./6.6.3.5.,15
33 Charles St E,13,1.1.2.3./6.7.1.1.,15
33 Charles St E,13,2.8.2.1,15
33 Charles St E,13,2.8.3.4,15
330 Adelaide St E,13,1.1.1.2,22
330 Adelaide St E,13,1.1.2.1./2.7.3.3.(3),22
330 Adelaide St E,13,1.1.2.1./6.2.7.5.,22
330 Adelaide St E,13,1.1.2.1./6.3.2.2.,22
330 Adelaide St E,13,1.1.2.1./6.5.5.2.,22
330 Adelaide St E,13,1.1.2.1./6.7.1.1.,22
330 Adelaide St E,13,2.4.1.1,22
330 Adelaide St E,13,2.8.3.2,22
330 Adelaide St E,13,6.3.1.4,22
330 Adelaide St E,13,6.4.1.3. (1),22
330 Adelaide St E,13,7.3.1.3,22
35 Church St,13,1.1.1.2,21
35 Church St,13,1.1.2.1./6.2.7.5.,21
35 Church St,13,1.1.2.1./6.3.2.2.,21
35 Church St,13,1.1.2.1./6.5.5.2.,21
35 Church St,13,1.1.2.1./6.6.3.5.,21
35 Church St,13,1.1.2.1./6.7.1.1.,21
35 Church St,13,2.2.2.1,21
35 Church St,13,2.2.3.2,21
35 Church St,13,2.2.3.3,21
35 Church St,13,2.4.1.1,21
35 Church St,13,2.7.3.2,21
35 Church St,13,2.8.2.5 (1),21
35 Church St,13,6.5.1.1,21
35 Church St,13,6.5.1.5 (1),21
35 Church St,13,6.5.4.5,21
35 Church St,13,6.5.6.5,21
37 Grosvenor St,13,2.5.1.2,4
37 Grosvenor St,13,2.8.2.1,4
37 Grosvenor St,13,2.8.2.1,4
37 Grosvenor St,13,6.3.2.2,4
39 Jarvis St,13,1.1.2.1./2.7.3.3.(3),9
39 Jarvis St,13,1.1.2.1./6.2.7.5.,9
39 Jarvis St,13,1.1.2.1./6.3.2.2.,9
39 Jarvis St,13,1.1.2.1./6.3.3.8.,9
39 Jarvis St,13,1.1.2.1./6.5.5.3.,9
39 Jarvis St,13,1.1.2.1./6.6.3.5.,9
39 Jarvis St,13,1.1.2.1./6.7.1.1.,9
39 Jarvis St,13,2.2.3.3,9
39 Jarvis St,13,6.4.1.2,9
40 Alexander St,13,1.1.2.1,18
40 Alexander St,13,1.1.2.1./2.7.3.3.(3),18
40 Alexander St,13,1.1.2.1./6.2.7.5.,18
40 Alexander St,13,1.1.2.1./6.3.2.2.,18
40 Alexander St,13,1.1.2.1./6.4.3.3.,18
40 Alexander St,13,1.1.2.1./6.6.3.5.,18
40 Alexander St,13,1.1.2.1./6.7.1.1.,18
