property_ward,violation_fire_code,number_of_violations_per_ward
3,2.2.3.2,856
3,6.3.1.2,856
3,1.1.2.3,856
3,1.1.2.3./2.7.3.3.(3),856
3,2.7.2.2,856
3,6.3.1.4,856
3,2.16.2.1,856
3,2.2.3.2,856
3,2.8.2.1,856
3,1.1.2.1./6.3.2.2.,856
3,1.1.2.1./6.4.3.3.,856
3,1.1.2.1./6.5.5.3.,856
3,1.1.2.1./6.5.5.4.,856
3,1.1.2.1./6.5.5.5.,856
3,1.1.2.1./6.6.3.5.,856
3,2.2.2.1,856
3,2.2.3.2,856
3,2.6.1.13,856
3,7.3.1.3,856
1,2.2.3.2,419
1,2.2.3.3,419
5,1.1.1.2,1140
5,2.5.1.2,1140
5,1.1.2.1./6.6.3.5.,1140
5,1.1.2.1./6.6.5.6.,1140
5,6.3.1.2,1140
3,1.1.2.1./6.6.5.6.,856
3,2.2.3.2,856
3,2.4.1.1,856
3,7.3.1.3,856
NA,1.1.2.1,18694
NA,1.1.2.1./2.7.3.3.(3),18694
NA,1.1.2.1./6.2.7.5.,18694
NA,1.1.2.1./6.3.2.2.,18694
NA,1.1.2.1./6.6.3.5.,18694
NA,1.1.2.1./6.7.1.1.,18694
NA,2.16.2.1,18694
NA,2.4.1.1,18694
NA,2.8.2.1,18694
NA,CH 470 - S.6,18694
NA,1.1.1.2,18694
NA,1.1.2.1./2.7.3.3.(3),18694
NA,1.1.2.1./6.3.2.2.,18694
NA,1.1.2.1./6.6.3.5.,18694
NA,1.1.2.1./6.7.1.1.,18694
NA,2.2.3.3,18694
NA,2.8.3.2,18694
NA,6.5.6.5,18694
NA,6.6.3.5,18694
NA,1.1.2.1./2.7.3.3.(3),18694
NA,1.1.2.1./6.2.7.5.,18694
NA,1.1.2.1./6.3.2.2.,18694
NA,1.1.2.1./6.3.3.8.,18694
NA,1.1.2.1./6.4.3.2.,18694
NA,1.1.2.1./6.4.3.3.,18694
NA,1.1.2.1./6.5.5.3.,18694
NA,1.1.2.1./6.6.3.5.,18694
NA,2.2.2.1,18694
NA,2.2.3.2,18694
NA,6.5.1.1,18694
NA,6.5.1.5 (1),18694
NA,9.6.2.6,18694
NA,1.1.2.1,18694
NA,1.1.2.1./2.7.3.3.(3),18694
NA,1.1.2.1./6.2.7.5.,18694
NA,1.1.2.1./6.3.2.2.,18694
NA,1.1.2.1./6.6.3.5.,18694
NA,1.1.2.3./6.7.1.1.,18694
NA,2.8.2.1,18694
NA,2.8.3.4,18694
NA,1.1.1.2,18694
NA,1.1.2.1./2.7.3.3.(3),18694
NA,1.1.2.1./6.2.7.5.,18694
NA,1.1.2.1./6.3.2.2.,18694
NA,1.1.2.1./6.5.5.2.,18694
NA,1.1.2.1./6.7.1.1.,18694
NA,2.4.1.1,18694
NA,2.8.3.2,18694
NA,6.3.1.4,18694
NA,6.4.1.3. (1),18694
NA,7.3.1.3,18694
NA,1.1.1.2,18694
NA,1.1.2.1./6.2.7.5.,18694
NA,1.1.2.1./6.3.2.2.,18694
NA,1.1.2.1./6.5.5.2.,18694
NA,1.1.2.1./6.6.3.5.,18694
NA,1.1.2.1./6.7.1.1.,18694
NA,2.2.2.1,18694
NA,2.2.3.2,18694
NA,2.2.3.3,18694
NA,2.4.1.1,18694
NA,2.7.3.2,18694
NA,2.8.2.5 (1),18694
NA,6.5.1.1,18694
NA,6.5.1.5 (1),18694
NA,6.5.4.5,18694
NA,6.5.6.5,18694
NA,2.5.1.2,18694
NA,2.8.2.1,18694
NA,2.8.2.1,18694
NA,6.3.2.2,18694
NA,1.1.2.1./2.7.3.3.(3),18694
NA,1.1.2.1./6.2.7.5.,18694
NA,1.1.2.1./6.3.2.2.,18694
NA,1.1.2.1./6.3.3.8.,18694
NA,1.1.2.1./6.5.5.3.,18694
NA,1.1.2.1./6.6.3.5.,18694
NA,1.1.2.1./6.7.1.1.,18694
NA,2.2.3.3,18694
NA,6.4.1.2,18694
NA,1.1.2.1,18694
NA,1.1.2.1./2.7.3.3.(3),18694
NA,1.1.2.1./6.2.7.5.,18694
NA,1.1.2.1./6.3.2.2.,18694
NA,1.1.2.1./6.4.3.3.,18694
NA,1.1.2.1./6.6.3.5.,18694
NA,1.1.2.1./6.7.1.1.,18694
NA,2.5.1.2. (2),18694
NA,2.8.3.4,18694
NA,6.4.1.3. (1),18694
NA,1.1.2.1./6.7.1.1.,18694
NA,2.8.3.2,18694
NA,6.4.1.3. (1),18694
NA,6.5.6.5,18694
NA,1.1.2.2,18694
NA,2.8.2.1,18694
NA,1.1.2.1,18694
NA,1.1.2.1./2.7.3.3.(3),18694
NA,1.1.2.1./6.4.3.7.(1),18694
NA,2.2.2.1,18694
NA,2.2.3.1,18694
NA,2.2.3.2,18694
NA,2.4.1.1,18694
NA,6.5.1.5,18694
NA,6.5.3.4,18694
NA,9.6.2.11,18694
NA,1.1.2.1./6.2.7.5.,18694
NA,1.1.2.1./6.3.2.4.,18694
NA,2.2.2.1,18694
NA,2.2.3.2,18694
NA,2.2.3.3,18694
NA,2.4.1.1,18694
NA,2.7.1.7,18694
NA,CH 470 - S.7,18694
5,1.1.2.1./6.3.2.4.,1140
NA,1.1.2.3./6.4.3.7.(1),18694
NA,2.2.3.2,18694
NA,1.1.1.2,18694
NA,1.1.2.3./7.3.1.2.,18694
NA,2.2.3.2,18694
NA,2.8.3.4,18694
NA,1.1.1.2,18694
NA,2.2.3.2,18694
NA,4.3.13.5,18694
NA,1.1.1.2,18694
NA,1.1.2.1./6.5.5.2.,18694
NA,1.1.2.1./6.6.5.6.,18694
NA,1.1.2.1./6.7.1.1.,18694
NA,2.2.2.1,18694
NA,2.2.3.2,18694
NA,2.4.1.1,18694
NA,2.4.1.1,18694
NA,2.7.3.1,18694
NA,2.8.2.5 (1),18694
NA,6.3.2.5,18694
NA,9.6.3.6,18694
NA,1.1.2.1,18694
NA,1.1.2.1./6.5.5.4.,18694
NA,1.1.2.1./6.7.1.1.,18694
NA,1.1.2.1./7.3.1.2.,18694
NA,2.2.2.1,18694
NA,2.2.3.2,18694
NA,2.2.3.5,18694
NA,2.8.2.1,18694
NA,2.8.2.5 (1),18694
NA,2.8.3.2,18694
NA,6.2.4.1,18694
NA,6.4.3.2,18694
NA,1.1.1.2,18694
NA,1.1.2.1./6.7.1.1.,18694
NA,1.1.2.1./7.2.2.1.,18694
NA,2.2.2.1,18694
NA,2.2.3.2,18694
NA,2.4.1.1,18694
NA,2.8.2.1,18694
NA,2.8.2.5 (1),18694
NA,6.5.1.5 (1),18694
NA,1.1.2.1,18694
NA,1.1.2.1./2.7.3.3.(3),18694
NA,1.1.2.1./6.2.7.5.,18694
NA,1.1.2.1./6.3.2.2.,18694
NA,1.1.2.1./6.4.3.7.(1),18694
NA,1.1.2.1./6.5.5.2.,18694
NA,1.1.2.1./6.6.3.5.,18694
NA,1.1.2.1./6.6.5.6.,18694
NA,1.1.2.3,18694
NA,2.4.1.1,18694
NA,2.5.1.2,18694
NA,2.8.2.1,18694
NA,6.4.1.2,18694
NA,6.4.2.1,18694
NA,6.4.2.6,18694
NA,6.4.3.7,18694
NA,9.6.2.6,18694
NA,9.6.5.6,18694
NA,1.1.2.2,18694
NA,2.2.2.1,18694
NA,6.4.3.7,18694
NA,9.6.2.6,18694
NA,6.3.1.4,18694
NA,1.1.1.2,18694
NA,2.8.2.1,18694
NA,6.5.1.2,18694
NA,2.2.2.1,18694
NA,2.2.3.2,18694
3,1.1.2.3./6.3.2.2.,856
3,2.2.3.1,856
3,2.2.3.2,856
